,sample,study,project,condition,rep_id,contact,creator,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Growth Rate (1/hr),Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,Biological Replicates,R1,R2,BAM,alignment,DOI,GEO,Published,SRX,Run,Notes,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates
ecoli_00060,omics__bw_glc__1,Omics,omics,bw_glc,1,Donghyuk Kim,Donghyuk Kim,3/12/2013,Escherichia coli BW25113,BW25113,M9,glucose(5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.61,No,,MiSeq,,2,,,omics__bw_glc__1.bam,97.62,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661391,SRR1525102,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_glc,TRUE,TRUE
ecoli_00061,omics__bw_glc__2,Omics,omics,bw_glc,2,Donghyuk Kim,Donghyuk Kim,3/12/2013,Escherichia coli BW25113,BW25113,M9,glucose(5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.61,No,,MiSeq,,2,,,omics__bw_glc__2.bam,98.13,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661392,SRR1525103,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_glc,TRUE,TRUE
ecoli_00062,omics__bw_pyr__1,Omics,omics,bw_pyr,1,Donghyuk Kim,Donghyuk Kim,1/12/2015,Escherichia coli BW25113,BW25113,M9,pyruvate(3.3),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.37,No,,MiSeq,,2,,,omics__bw_pyr__1.bam,97.36,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661393,SRR1525104,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_pyr,TRUE,TRUE
ecoli_00063,omics__bw_pyr__2,Omics,omics,bw_pyr,2,Donghyuk Kim,Donghyuk Kim,1/12/2015,Escherichia coli BW25113,BW25113,M9,pyruvate(3.3),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,0.37,No,,MiSeq,,2,,,omics__bw_pyr__2.bam,97.59,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661394,SRR1525105,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_pyr,TRUE,TRUE
ecoli_00070,minspan__wt_glc__2,MinSpan,minspan,wt_glc,2,Aarash Bordbar,Haythem Latif,10/1/2012,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,GAIIX,,4,,,minspan__wt_glc__2.bam,91.7,doi.org/10.15252/msb.20145243,GSE48324,1,SRX315213,SRR922261,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,minspan:wt_glc,TRUE,TRUE
ecoli_00071,minspan__wt_glc__3,MinSpan,minspan,wt_glc,3,Aarash Bordbar,Haythem Latif,10/1/2012,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,GAIIX,,4,,,minspan__wt_glc__3.bam,92.12,doi.org/10.15252/msb.20145243,GSE48324,1,SRX315214,SRR922262,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,minspan:wt_glc,TRUE,TRUE
ecoli_00072,minspan__wt_glc__4,MinSpan,minspan,wt_glc,4,Aarash Bordbar,Haythem Latif,10/1/2012,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,MiSeq,Bridging Study between MiSeq & GAIIX,4,,,minspan__wt_glc__4.bam,94.58,,GSE122211,1,SRX4985301,SRR8164486,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,minspan:wt_glc,TRUE,TRUE
ecoli_00073,minspan__wt_glc_anaero__1,MinSpan,minspan,wt_glc_anaero,1,Aarash Bordbar,Haythem Latif,10/1/2012,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),,sauer trace element mixture,,37,7,,Batch,,No,,GAIIX,,2,,,minspan__wt_glc_anaero__1.bam,83.01,doi.org/10.15252/msb.20145243,GSE48324,1,SRX315218,SRR922266,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,minspan:wt_glc_anaero,TRUE,TRUE
ecoli_00074,minspan__wt_glc_anaero__2,MinSpan,minspan,wt_glc_anaero,2,Aarash Bordbar,Haythem Latif,10/1/2012,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),,sauer trace element mixture,,37,7,,Batch,,No,,GAIIX,,2,,,minspan__wt_glc_anaero__2.bam,72.08,doi.org/10.15252/msb.20145243,GSE48324,1,SRX315219,SRR922267,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,minspan:wt_glc_anaero,TRUE,TRUE
ecoli_00082,cra_crp__wt_ac__1,Cra/Crp,cra_crp,wt_ac,1,Donghyuk Kim,Donghyuk Kim,7/8/2014,Escherichia coli K-12 MG1655,MG1655,M9,acetate(2),NH4Cl(1),O2,aebersold trace element mixture,,37,7,,Batch,0.25,No,,MiSeq,,2,,,cra_crp__wt_ac__1.bam,96.37,doi.org/10.1093/nar/gky069,GSE65643,1,SRX865361,SRR1787594,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,cra_crp:wt_ac,TRUE,TRUE
ecoli_00083,cra_crp__wt_ac__2,Cra/Crp,cra_crp,wt_ac,2,Donghyuk Kim,Donghyuk Kim,7/8/2014,Escherichia coli K-12 MG1655,MG1655,M9,acetate(2),NH4Cl(1),O2,aebersold trace element mixture,,37,7,,Batch,0.25,No,,MiSeq,,2,,,cra_crp__wt_ac__2.bam,96.01,doi.org/10.1093/nar/gky069,GSE65643,1,SRX865362,SRR1787595,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,cra_crp:wt_ac,TRUE,TRUE
ecoli_00125,glu__glu_ale3__1,Glucose Evolution,glu,glu_ale3,1,Ryan LaCroix,Richard Szubin,4/15/2013,Escherichia coli GLU.3.412.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,1.01,Endpoint,Clonal,MiSeq,GLU A3 F412 I1,1,,,glu__glu_ale3__1.bam,98.88,doi.org/10.1128/AEM.02246-14,GSE61327,1,SRX699437,SRR1573437,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,glu:glu_ale3,TRUE,FALSE
ecoli_00126,glu__glu_ale4__1,Glucose Evolution,glu,glu_ale4,1,Ryan LaCroix,Richard Szubin,4/16/2013,Escherichia coli GLU.4.403.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.98,Endpoint,Clonal,MiSeq,GLU A4 F403 I1,1,,,glu__glu_ale4__1.bam,98.94,doi.org/10.1128/AEM.02246-14,GSE61327,1,SRX699438,SRR1573438,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,glu:glu_ale4,TRUE,TRUE
ecoli_00127,glu__glu_ale5__1,Glucose Evolution,glu,glu_ale5,1,Ryan LaCroix,Richard Szubin,4/16/2013,Escherichia coli GLU.5.288.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,1.01,Endpoint,Clonal,MiSeq,GLU A5 F288 I1,1,,,glu__glu_ale5__1.bam,98.99,doi.org/10.1128/AEM.02246-14,GSE61327,1,SRX699439,SRR1573439,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,glu:glu_ale5,TRUE,FALSE
ecoli_00128,glu__glu_ale6__1,Glucose Evolution,glu,glu_ale6,1,Ryan LaCroix,Richard Szubin,4/19/2013,Escherichia coli GLU.6.406.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,1,Endpoint,Clonal,MiSeq,GLU A6 F406 I1,1,,,glu__glu_ale6__1.bam,98.06,doi.org/10.1128/AEM.02246-14,GSE61327,1,SRX699440,SRR1573440,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,glu:glu_ale6,TRUE,FALSE
ecoli_00129,glu__glu_ale8__1,Glucose Evolution,glu,glu_ale8,1,Ryan LaCroix,Richard Szubin,5/1/2013,Escherichia coli GLU.8.380.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.99,Endpoint,Clonal,MiSeq,GLU A8 F380 I1,1,,,glu__glu_ale8__1.bam,96.96,doi.org/10.1128/AEM.02246-14,GSE61327,1,SRX699442,SRR1573442,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,glu:glu_ale8,TRUE,FALSE
ecoli_00130,glu__glu_ale9__1,Glucose Evolution,glu,glu_ale9,1,Ryan LaCroix,Richard Szubin,5/18/2013,Escherichia coli GLU.9.433.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,1.01,Endpoint,Clonal,MiSeq,GLU A9 F422 I1,1,,,glu__glu_ale9__1.bam,97.96,doi.org/10.1128/AEM.02246-14,GSE61327,1,SRX699443,SRR1573443,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,glu:glu_ale9,TRUE,FALSE
ecoli_00131,glu__glu_ale10__1,Glucose Evolution,glu,glu_ale10,1,Ryan LaCroix,Richard Szubin,5/19/2013,Escherichia coli GLU.10.418.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,1.02,Endpoint,Clonal,MiSeq,GLU A10 F418 I1,1,,,glu__glu_ale10__1.bam,98.42,doi.org/10.1128/AEM.02246-14,GSE61327,1,SRX699444,SRR1573444,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,glu:glu_ale10,TRUE,FALSE
ecoli_00132,42c__wt_42c__1,42C Evolution,42c,wt_42c,1,Ryan LaCroix,Richard Szubin,5/1/2013,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,42,7,,Batch,0.82,No,,MiSeq,,1,,,42c__wt_42c__1.bam,98.37,doi.org/10.1093/molbev/msu209,GSE132442,1,SRX6027824,SRR9257363,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,42c:wt_42c,TRUE,FALSE
ecoli_00133,42c__42c_ale1__1,42C Evolution,42c,42c_ale1,1,Ryan LaCroix,Richard Szubin,5/7/2013,Escherichia coli 42C.1.124.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,42,7,,Batch,0.95,Endpoint,Clonal,MiSeq,42C A1 F124 I1,1,,,42c__42c_ale1__1.bam,98.4,doi.org/10.1093/molbev/msu209,GSE132442,1,SRX6027825,SRR9257364,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,42c:42c_ale1,TRUE,FALSE
ecoli_00134,42c__42c_ale2__1,42C Evolution,42c,42c_ale2,1,Ryan LaCroix,Richard Szubin,5/2/2013,Escherichia coli 42C.2.163.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,42,7,,Batch,0.97,Endpoint,Clonal,MiSeq,42C A2 F163 I1,1,,,42c__42c_ale2__1.bam,97.51,doi.org/10.1093/molbev/msu209,GSE132442,1,SRX6027826,SRR9257365,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,42c:42c_ale2,TRUE,FALSE
ecoli_00135,42c__42c_ale3__1,42C Evolution,42c,42c_ale3,1,Ryan LaCroix,Richard Szubin,5/1/2013,Escherichia coli 42C.3.120.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,42,7,,Batch,0.92,Endpoint,Clonal,MiSeq,42C A3 F120 I1,1,,,42c__42c_ale3__1.bam,97.13,doi.org/10.1093/molbev/msu209,GSE132442,1,SRX6027827,SRR9257366,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,42c:42c_ale3,TRUE,FALSE
ecoli_00136,42c__42c_ale4__1,42C Evolution,42c,42c_ale4,1,Ryan LaCroix,Richard Szubin,5/2/2013,Escherichia coli 42C.4.161.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,42,7,,Batch,1.03,Endpoint,Clonal,MiSeq,42C A4 F161 I1,1,,,42c__42c_ale4__1.bam,97.07,doi.org/10.1093/molbev/msu209,GSE132442,1,SRX6027828,SRR9257367,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,42c:42c_ale4,TRUE,FALSE
ecoli_00137,42c__42c_ale5__1,42C Evolution,42c,42c_ale5,1,Ryan LaCroix,Richard Szubin,5/2/2013,Escherichia coli 42C.5.125.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,42,7,,Batch,0.94,Endpoint,Clonal,MiSeq,42C A5 F125 I1,1,,,42c__42c_ale5__1.bam,97.06,doi.org/10.1093/molbev/msu209,GSE132442,1,SRX6027829,SRR9257368,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,42c:42c_ale5,TRUE,FALSE
ecoli_00138,42c__42c_ale6__1,42C Evolution,42c,42c_ale6,1,Ryan LaCroix,Richard Szubin,5/3/2013,Escherichia coli 42C.6.164.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,42,7,,Batch,0.97,Endpoint,Clonal,MiSeq,42C A6 F164 I1,1,,,42c__42c_ale6__1.bam,97.77,doi.org/10.1093/molbev/msu209,GSE132442,1,SRX6027830,SRR9257369,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,42c:42c_ale6,TRUE,FALSE
ecoli_00139,42c__42c_ale8__1,42C Evolution,42c,42c_ale8,1,Ryan LaCroix,Richard Szubin,5/2/2013,Escherichia coli 42C.8.164.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,42,7,,Batch,0.95,Endpoint,Clonal,MiSeq,42C A8 F164 I1,1,,,42c__42c_ale8__1.bam,97.04,doi.org/10.1093/molbev/msu209,GSE132442,1,SRX6027831,SRR9257370,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,42c:42c_ale8,TRUE,FALSE
ecoli_00140,42c__42c_ale9__1,42C Evolution,42c,42c_ale9,1,Ryan LaCroix,Richard Szubin,5/3/2013,Escherichia coli 42C.9.131.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,42,7,,Batch,0.92,Endpoint,Clonal,MiSeq,42C A9 F131 I1,1,,,42c__42c_ale9__1.bam,96.38,doi.org/10.1093/molbev/msu209,GSE132442,1,SRX6027832,SRR9257371,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,42c:42c_ale9,TRUE,FALSE
ecoli_00141,42c__42c_ale10__1,42C Evolution,42c,42c_ale10,1,Ryan LaCroix,Richard Szubin,5/3/2013,Escherichia coli 42C.10.153.1,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,42,7,,Batch,0.98,Endpoint,Clonal,MiSeq,42C A10 F153 I1,1,,,42c__42c_ale10__1.bam,96.91,doi.org/10.1093/molbev/msu209,GSE132442,1,SRX6027833,SRR9257372,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,42c:42c_ale10,TRUE,FALSE
ecoli_00169,ica__wt_glc__1,ICA,ica,wt_glc,1,Anand Sastry,Ying Hefner,12/10/2017,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.58,No,,HiSeq 4000,,4,,,ica__wt_glc__1.bam,96.08,,GSE122295,1,SRX4993780,SRR8173227,Assumed order matched NCBI for replicates,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ica:wt_glc,TRUE,TRUE
ecoli_00170,ica__wt_glc__2,ICA,ica,wt_glc,2,Anand Sastry,Ying Hefner,12/10/2017,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.58,No,,HiSeq 4000,,4,,,ica__wt_glc__2.bam,96.29,,GSE122295,1,SRX4993781,SRR8173228,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ica:wt_glc,TRUE,TRUE
ecoli_00171,ica__wt_glc__3,ICA,ica,wt_glc,3,Anand Sastry,Ying Hefner,12/23/2017,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.66,No,,HiSeq 4000,,4,,,ica__wt_glc__3.bam,95.35,,GSE122295,1,SRX4993782,SRR8173229,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ica:wt_glc,TRUE,TRUE
ecoli_00172,ica__wt_glc__4,ICA,ica,wt_glc,4,Anand Sastry,Ying Hefner,12/23/2017,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.66,No,,HiSeq 4000,,4,,,ica__wt_glc__4.bam,94.49,,GSE122295,1,SRX4993783,SRR8173230,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ica:wt_glc,TRUE,TRUE
ecoli_00183,ica__no3_anaero__1,ICA,ica,no3_anaero,1,Anand Sastry,Ying Hefner,12/23/2017,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),KNO3(20mM),sauer trace element mixture,,37,7,,Batch,0.35,No,,HiSeq 4000,,2,,,ica__no3_anaero__1.bam,94.15,,GSE122295,1,SRX4993794,SRR8173241,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ica:no3_anaero,TRUE,TRUE
ecoli_00184,ica__no3_anaero__2,ICA,ica,no3_anaero,2,Anand Sastry,Ying Hefner,12/23/2017,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),KNO3(20mM),sauer trace element mixture,,37,7,,Batch,0.35,No,,HiSeq 4000,,2,,,ica__no3_anaero__2.bam,94.01,,GSE122295,1,SRX4993795,SRR8173242,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ica:no3_anaero,TRUE,TRUE
ecoli_00193,ica__wt_glc__5,ICA,ica,wt_glc,5,Anand Sastry,Ying Hefner,10/17/2018,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.63,No,,HiSeq 4000,,2,,,ica__wt_glc__5.bam,93.94,,GSE122295,0,SRX5975758,SRR9204648,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ica:wt_glc,TRUE,TRUE
ecoli_00194,ica__wt_glc__6,ICA,ica,wt_glc,6,Anand Sastry,Ying Hefner,10/17/2018,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,0.63,No,,HiSeq 4000,,2,,,ica__wt_glc__6.bam,94.85,,GSE122295,0,SRX5975759,SRR9204649,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,ica:wt_glc,TRUE,TRUE
ecoli_00263,efeU__delmenFentC_citr__1,Pseudogene Repair,efeU,delmenFentC_citr,1,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli K-12 MG1655 del_menF del_entC,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),37,7,,Batch,,No,,HiSeq 4000,,2,,,efeU__delmenFentC_citr__1.bam,94.04,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036611,SRR8218063,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:delmenFentC_citr,TRUE,TRUE
ecoli_00264,efeU__delmenFentC_citr__2,Pseudogene Repair,efeU,delmenFentC_citr,2,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli K-12 MG1655 del_menF del_entC,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,FeCl3 (20 uM) + Na-citrate (10 mM),37,7,,Batch,,No,,HiSeq 4000,,2,,,efeU__delmenFentC_citr__2.bam,92.15,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036612,SRR8218064,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:delmenFentC_citr,TRUE,TRUE
ecoli_00265,efeU__delmenFentC__1,Pseudogene Repair,efeU,delmenFentC,1,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli K-12 MG1655 del_menF del_entC,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,HiSeq 4000,,2,,,efeU__delmenFentC__1.bam,95.79,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036613,SRR8218065,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:delmenFentC,TRUE,TRUE
ecoli_00266,efeU__delmenFentC__2,Pseudogene Repair,efeU,delmenFentC,2,Amitesh Anand,Richard Szubin,5/21/2018,Escherichia coli K-12 MG1655 del_menF del_entC,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,,Batch,,No,,HiSeq 4000,,2,,,efeU__delmenFentC__2.bam,95.07,doi.org/10.1038/s41564-018-0340-2,GSE122779,1,SRX5036614,SRR8218066,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,efeU:delmenFentC,TRUE,TRUE
